track_id,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5,eff_6,eff_7,eff_8,eff_9,eff_10,eff_11,eff_12,eff_13,eff_14,eff_15,eff_16,eff_17,eff_18,eff_19,eff_20,eff_21,eff_22,eff_23,eff_24,eff_25,eff_26,eff_27,eff_28,eff_29,eff_30,eff_31,eff_32,eff_33,eff_34
02-hedstrom_and_pflug-nepal_morning,-695.418,123.33841,65.590355,58.38736,32.14694,31.007864,14.59419,15.2232065,13.769417,9.906697,7.549508,3.93306,-0.824506,121.29827,53.872917,43.73739,22.167233,17.20277,15.974528,13.078826,16.610226,12.690874,9.646187,9.796618,10.485156,9.908167,697.73834,875.7242,536.10596,0.23509245,0.024049127,140.02618,2.87228,0.38389018,1.0
02-luar-hidden_key,-686.42035,140.70178,49.380215,58.507713,33.527176,30.722649,16.22146,16.447899,7.5040874,7.9040294,7.776821,10.376443,6.654265,93.35424,67.60252,30.003033,23.820295,14.245408,12.453892,11.527208,10.47912,9.664514,8.4365225,7.4596257,7.5893407,8.689472,481.73898,645.94855,248.27742,0.20172419,0.015504677,136.81595,2.8770072,0.5037787,1.0
02-mathys_lenne-atma,-669.3984,131.48569,101.14133,67.10141,18.851015,18.750898,29.766758,1.9329842,6.6606193,-1.6930466,-1.654495,5.718919,-3.5023048,72.79961,27.807684,26.219017,15.918382,14.297502,12.344698,10.860663,9.512115,9.332577,6.7455435,6.522642,5.666978,4.891662,487.12927,328.2053,140.68637,0.27394602,0.013129571,138.08385,3.8131661,0.32103062,1.0
02-pedro_capelossi_and_aeikus-between_realities_(original_mix),-774.6454,170.5528,48.835155,63.141155,19.81261,21.514957,9.861275,10.279513,5.623721,6.47148,2.3713167,10.786929,10.770366,154.76389,96.19553,49.49659,36.943817,25.720583,18.13773,16.46687,14.576379,13.946178,12.01263,9.600286,7.8741393,9.480389,740.4517,1122.5602,808.1157,0.19251892,0.023548946,125.01312,3.296373,0.91471285,0.0
02-vinicius_honorio-haunted_loop_(original_mix),-659.49115,153.20668,76.57984,31.451384,23.096699,18.382868,-7.7385693,8.156096,20.45446,22.285181,18.929777,16.64476,-5.4846215,94.894104,66.387,28.430063,20.34414,15.926981,11.748589,9.183629,9.033481,10.8359995,13.370981,13.233279,9.992771,7.06662,613.5313,644.2922,282.1141,0.24036942,0.018520877,140.04419,3.7358508,0.6764695,0.0
02-vntm-transyl,-727.41986,167.07716,89.784744,56.823174,32.78722,25.731304,14.367351,10.9857435,9.672156,7.952905,8.996089,5.6096597,2.578152,101.491585,50.278824,27.74704,23.661922,20.341745,12.131826,9.112547,6.7474537,6.381322,5.859359,9.065126,6.691846,7.4607015,269.25513,355.1133,105.39191,0.26008463,0.007905245,135.99911,3.3310866,0.49137747,1.0
02-waage-w10,-722.0439,124.8048,-4.4243026,90.78577,45.412743,23.884363,12.34161,13.828034,13.684951,6.436613,2.1915445,2.5721447,2.9093218,37.01474,34.46209,17.773964,15.119869,16.844881,13.962308,10.790424,9.770962,10.010245,9.5641985,8.502203,7.9937367,7.4059086,445.4327,399.45282,356.1017,0.1597776,0.01994813,123.046936,3.3513596,0.43052697,1.0
02-wax--80008b-f255bb84,-811.59283,78.01052,41.15502,-29.551178,-4.7038956,-6.7145915,-18.438744,-23.371058,-15.157256,-12.302508,-11.861003,-10.541893,-8.055615,164.73238,104.177635,64.09369,31.16462,22.555462,15.349803,10.5894575,10.773011,7.4803414,9.01858,7.0552382,7.115026,6.522169,4342.248,3112.6743,6390.138,0.068603314,0.21127221,128.04378,3.7141201,0.90534145,1.0
02. Tsalimia,-784.6691,130.82985,53.269875,74.599304,36.892075,28.987797,17.698566,27.21483,24.500872,14.880835,1.1091652,-1.6568859,0.6921764,98.710625,26.035711,24.452608,15.075996,16.845062,9.983507,10.490893,10.022537,11.125659,8.39203,7.4175043,7.0862503,5.880813,256.9377,413.98477,211.85007,0.1368861,0.007891456,117.65993,3.8198113,0.6331711,1.0
03 - it's a love thing (power cut),-689.5356,82.585815,15.214671,68.332085,42.5379,50.529453,0.32116857,25.940779,10.766654,8.520755,6.375985,8.37666,-5.6683025,193.2321,69.461815,42.551983,26.499743,18.86192,14.083758,20.404728,12.018085,10.809684,11.2205105,7.342769,8.513209,7.955975,1562.8092,1626.7819,1815.2198,0.14869143,0.056131564,127.97941,2.6724863,0.6863953,0.0
